"lon","lat","weight","interval"
121.48544,25.12234,10,1454212800
121.48954,25.02748,16,1454212800
121.49194,25.09885,27,1454212800
121.49581,25.01727,58,1454212800
121.49634,25.13513,1,1454212800
121.49847,25.14399,1,1454212800
121.50071,25.02721,4,1454212800
121.50157,25.12004,10,1454212800
121.50376,25.04441,24,1454212800
121.50672,25.04292,4,1454212800
121.50826,25.12004,3,1454212800
121.51076,25.07207,1,1454212800
121.51279,25.12302,1,1454212800
121.51402,25.05678,74,1454212800
121.51464,25.03161,22,1454212800
121.51474,25.09303,8,1454212800
121.51563,25.05136,12,1454212800
121.51696,25.02805,40,1454212800
121.51742,25.04737,2,1454212800
121.51772,25.10553,1,1454212800
121.51833,25.05140,5,1454212800
121.51869,25.06268,4,1454212800
121.51887,25.07144,13,1454212800
121.51944,25.05301,14,1454212800
121.51950,25.04830,34,1454212800
121.52165,25.04475,2,1454212800
121.52256,25.06651,1,1454212800
121.52267,25.05400,1,1454212800
121.52267,25.05879,10,1454212800
121.52377,25.06031,2,1454212800
121.52478,25.05057,6,1454212800
121.52537,25.05655,6,1454212800
121.52705,25.08909,5,1454212800
121.52751,25.12954,1,1454212800
121.52764,25.10186,1,1454212800
121.52842,25.09545,1,1454212800
121.52867,25.11304,1,1454212800
121.52956,25.06316,1,1454212800
121.53046,25.09587,1,1454212800
121.53159,25.12281,4,1454212800
121.53337,25.06018,3,1454212800
121.53467,25.02578,5,1454212800
121.53838,25.00778,2,1454212800
121.53908,25.16895,1,1454212800
121.54218,24.99717,3,1454212800
121.54289,25.05719,2,1454212800
121.54322,25.02392,1,1454212800
121.54349,25.04127,5,1454212800
121.54383,25.05918,1,1454212800
121.54387,24.99215,4,1454212800
121.54409,25.06446,1,1454212800
121.54439,25.04439,3,1454212800
121.54481,24.99857,1,1454212800
121.54683,25.05551,1,1454212800
121.54731,24.98405,3,1454212800
121.55103,25.07769,1,1454212800
121.55251,25.07357,1,1454212800
121.55398,25.00015,1,1454212800
121.55422,25.04986,1,1454212800
121.55487,25.01429,1,1454212800
121.56159,24.99216,1,1454212800
121.56327,25.06163,1,1454212800
121.56327,25.07027,18,1454212800
121.56352,25.02774,1,1454212800
121.56384,25.04901,1,1454212800
121.56865,25.04072,1,1454212800
121.57307,25.06213,7,1454212800
121.57491,25.06972,33,1454212800
121.57838,25.04934,1,1454212800
121.57904,25.04852,2,1454212800
121.58489,25.05668,1,1454212800
121.59291,25.04937,1,1454212800
121.59451,25.04877,3,1454212800
121.60127,25.12090,1,1454212800
121.61436,25.05719,3,1454212800
121.61520,25.04485,10,1454212800
121.61547,25.06688,33,1454212800
121.61720,25.05595,1,1454212800
121.46877,25.13442,28,1454212800
121.49406,25.03042,9,1454212800
121.49443,25.03627,38,1454212800
121.50032,25.09277,133,1454212800
121.50517,25.03384,36,1454212800
