"lon","lat","weight","interval"
120.63298,24.20999,1,1454144700
120.66300,24.27210,1,1454144700
120.66300,24.27210,1,1454145000
120.66447,24.32222,1,1454145000
120.68466,24.32762,1,1454145000
120.69836,24.43779,1,1454145000
120.72056,24.46722,1,1454145000
120.74336,24.53348,1,1454145300
120.79517,24.59077,1,1454145300
120.81876,24.60179,1,1454145300
120.85747,24.61955,1,1454144400
120.86560,24.63144,1,1454144400
120.92503,24.67436,1,1454145600
120.92800,24.70830,1,1454151300
120.98089,24.72551,1,1454145600
121.00048,24.77144,1,1454150700
121.00972,24.85722,1,1454151000
121.01026,24.81062,1,1454151300
121.01275,24.87133,1,1454151000
121.01748,24.83032,1,1454151300
121.01764,24.82587,1,1454151300
121.01847,24.83533,1,1454150400
121.02181,24.87194,1,1454151000
121.02279,24.83484,1,1454151300
121.04415,24.76405,1,1454144400
121.04858,24.84061,1,1454144400
121.05473,24.87917,1,1454144400
121.05473,24.87917,4,1454151000
121.05473,24.87917,2,1454151300
121.05831,24.87750,3,1454151000
121.05831,24.87750,2,1454151300
121.06156,24.76231,1,1454145000
121.07517,24.88431,1,1454150700
121.07633,24.75256,1,1454144700
121.07996,24.90410,1,1454145900
121.08742,24.73869,1,1454144700
121.09662,24.88866,1,1454150700
121.10671,24.89336,1,1454144400
121.10671,24.89336,1,1454150100
121.10671,24.89336,2,1454150700
121.10671,24.89336,7,1454151000
121.11560,25.04935,1,1454144700
121.11589,24.89777,3,1454144400
121.11589,24.89777,2,1454151000
121.12637,24.89056,1,1454150700
121.13101,24.89449,2,1454144400
121.14610,24.89989,2,1454144400
121.14610,24.89989,1,1454150400
121.14610,24.89989,1,1454151300
121.15278,24.90528,1,1454144400
121.15278,24.90528,1,1454144700
121.15278,24.90528,1,1454151300
121.15522,24.88605,1,1454151300
121.16711,24.90830,2,1454144700
121.16711,24.90830,2,1454150700
121.17024,24.92762,1,1454144400
121.17024,24.92762,1,1454144700
121.17024,24.92762,1,1454149500
121.17024,24.92762,3,1454151300
121.17049,24.92192,1,1454144700
121.17049,24.92192,1,1454151300
121.17351,24.92811,2,1454144700
121.17351,24.92811,1,1454150400
121.17351,24.92811,1,1454150700
121.17351,24.92811,2,1454151300
121.17586,25.07775,1,1454150700
121.17983,24.91364,1,1454144700
121.18085,24.92792,1,1454144400
121.18085,24.92792,2,1454144700
121.18085,24.92792,1,1454150400
121.18085,24.92792,1,1454150700
121.18085,24.92792,1,1454151300
121.18389,24.93887,2,1454144400
121.18389,24.93887,3,1454144700
121.18389,24.93887,6,1454145000
121.18389,24.93887,1,1454145300
121.18389,24.93887,2,1454150400
121.18389,24.93887,1,1454151000
121.18389,24.93887,2,1454151300
121.18428,24.89912,1,1454145600
121.18682,24.92208,1,1454150400
121.18928,24.98364,1,1454144400
121.18944,24.95499,2,1454144400
121.18944,24.95499,4,1454144700
121.18944,24.95499,3,1454145000
121.18944,24.95499,1,1454145300
121.18944,24.95499,2,1454145600
121.18944,24.95499,3,1454150400
121.18944,24.95499,1,1454151000
121.18944,24.95499,1,1454151300
121.18993,24.85671,1,1454151300
121.19267,25.05820,1,1454151000
121.19410,24.96554,1,1454144700
121.19410,24.96554,1,1454145300
121.19416,25.06403,1,1454145600
121.19494,24.93320,2,1454145000
121.19587,24.94310,11,1454144400
121.19587,24.94310,10,1454144700
121.19587,24.94310,6,1454145000
121.19587,24.94310,2,1454145300
121.19587,24.94310,1,1454145600
