a.log,a.lat,weight,timest
121.51012,25.04214,3,1484971200
121.51012,25.05093,3,1484971200
121.51138,25.04705,5,1484971200
121.51170,25.05835,31,1484971200
121.51215,25.04608,4,1484971200
121.51324,25.06329,73,1484971200
121.51327,25.06277,7,1484971200
121.51399,25.05134,9,1484971200
121.51666,25.06749,2,1484971200
121.52013,25.11969,1,1484971200
121.52108,25.05579,4,1484971200
121.52160,25.05236,3,1484971200
121.52334,25.10214,1,1484971200
121.52379,25.08081,1,1484971200
121.52456,25.10399,1,1484971200
121.52578,25.01619,1,1484971200
121.52689,25.12164,1,1484971200
121.52900,25.04372,2,1484971200
121.52903,25.03394,11,1484971200
121.53400,25.01403,1,1484971200
121.53915,25.00134,1,1484971200
121.54063,24.99312,52,1484971200
121.54126,25.01377,1,1484971200
121.54140,25.02817,2,1484971200
121.54442,25.05397,1,1484971200
121.54958,25.04631,1,1484971200
121.55209,24.97944,1,1484971200
121.55930,25.04976,2,1484971200
121.55935,25.07127,1,1484971200
121.56039,24.98367,8,1484971200
121.56562,25.06442,1,1484971200
121.56813,25.04522,1,1484971200
121.57072,25.00194,1,1484971200
121.57623,24.99940,1,1484971200
121.57808,25.04042,1,1484971200
121.57983,25.05588,1,1484971200
121.58218,25.06883,2,1484971200
121.61033,25.03175,4,1484971200
121.61123,25.07018,2,1484971200
121.61268,25.04102,1,1484971200
121.61413,25.06303,2,1484971200
121.61812,25.03645,3,1484971200
121.46447,25.12211,109,1484971200
121.47144,25.12294,4,1484971200
121.49165,25.02532,67,1484971200
121.49297,25.10952,2,1484971200
121.49442,25.14561,2,1484971200
121.49849,25.13530,5,1484971200
121.50263,25.03317,2,1484971200
121.50445,25.04416,6,1484971200
121.50576,25.08594,94,1484971200
121.50806,25.12735,1,1484971200
121.50859,25.05693,14,1484971200
121.50867,25.04543,3,1484971200
121.51104,25.05337,48,1484971200
121.51165,25.06275,11,1484971200
121.51170,25.05836,18,1484971200
121.51381,25.06072,20,1484971200
121.51400,25.05750,12,1484971200
121.51427,25.04639,1,1484971200
121.51431,25.05917,12,1484971200
121.51485,25.04549,4,1484971200
121.51502,25.02988,3,1484971200
121.51721,25.03191,1,1484971200
121.51762,25.04794,23,1484971200
121.52010,25.03042,2,1484971200
121.52155,25.07856,27,1484971200
121.52272,25.03922,1,1484971200
121.52328,25.11607,3,1484971200
121.52476,25.07719,2,1484971200
121.52711,25.07786,1,1484971200
121.52768,25.05081,1,1484971200
121.52769,25.10116,1,1484971200
121.53104,25.05123,2,1484971200
121.53297,25.06239,1,1484971200
121.53297,25.06240,1,1484971200
121.53564,25.00459,13,1484971200
121.53653,25.18654,1,1484971200
121.53848,25.00480,2,1484971200
121.53981,25.07289,5,1484971200
121.53995,24.99412,1,1484971200
121.54078,24.99381,4,1484971200
121.54335,25.03011,1,1484971200
121.54465,25.06104,1,1484971200
121.54689,25.07789,1,1484971200
121.54769,25.02439,2,1484971200
121.55230,25.05147,1,1484971200
121.55306,25.11860,1,1484971200
121.56193,24.99417,1,1484971200
121.56430,25.06239,1,1484971200
121.57178,25.04694,1,1484971200
121.57298,25.03697,1,1484971200
121.57483,25.03838,1,1484971200
121.58075,24.96815,1,1484971200
121.58089,25.08461,1,1484971200
121.58451,25.04802,1,1484971200
121.58891,25.09589,1,1484971200
121.59935,25.06433,8,1484971200
121.60987,25.06846,2,1484971200
121.61033,25.03188,1,1484971200
121.46413,25.13298,5,1484971200
121.47167,25.12854,1,1484971200
121.49263,25.03260,11,1484971200
121.49954,25.03649,2,1484971200
121.49957,25.04126,11,1484971200
121.50514,25.04628,1,1484971200
121.50544,25.02587,3,1484971200
121.50614,25.09192,2,1484971200
121.50694,25.04364,1,1484971200
121.50901,25.05097,44,1484971200
121.50947,25.04537,1,1484971200
121.51011,25.05093,15,1484971200
121.51023,25.05007,4,1484971200
121.51048,25.14056,1,1484971200
121.51094,25.04628,1,1484971200
121.51120,25.06043,58,1484971200
121.51165,25.06276,19,1484971200
121.51322,25.04322,2,1484971200
121.51323,25.06329,70,1484971200
121.51348,25.05406,15,1484971200
121.51350,25.06491,3,1484971200
121.51350,25.07284,7,1484971200
121.51442,25.04956,3,1484971200
121.51472,25.04512,1,1484971200
121.51515,25.05683,4,1484971200
121.51593,25.04480,1,1484971200
121.51679,25.04903,2,1484971200
121.51686,25.05065,10,1484971200
121.51762,25.04795,7,1484971200
121.51833,25.08733,2,1484971200
121.51850,25.03303,1,1484971200
121.51929,25.03823,1,1484971200
121.52025,25.12155,2,1484971200
121.52054,25.05782,3,1484971200
121.52069,25.09189,2,1484971200
121.52232,25.11344,3,1484971200
121.52243,25.05848,1,1484971200
121.52355,25.08105,1,1484971200
121.52374,25.01918,13,1484971200
121.52524,25.10812,2,1484971200
121.52543,25.06237,1,1484971200
121.52564,25.06483,1,1484971200
121.52720,25.07972,8,1484971200
121.52805,25.02944,2,1484971200
121.52825,25.02553,1,1484971200
121.53108,25.11141,1,1484971200
121.53439,25.02362,1,1484971200
121.53466,25.01416,1,1484971200
121.53697,25.03370,1,1484971200
121.54125,25.01377,9,1484971200
121.54233,25.07286,2,1484971200
121.54430,24.99822,3,1484971200
121.54707,24.98690,3,1484971200
121.55112,25.04156,1,1484971200
121.55194,24.98753,1,1484971200
121.55755,24.98118,3,1484971200
121.55762,25.05184,1,1484971200
121.55934,25.07127,1,1484971200
121.56086,25.00493,1,1484971200
121.56258,25.02711,3,1484971200
121.56472,25.04102,1,1484971200
121.56709,25.03382,1,1484971200
121.56716,25.06098,1,1484971200
121.57545,25.08053,1,1484971200
121.58034,25.05769,2,1484971200
121.58373,24.97764,1,1484971200
121.59097,25.04999,1,1484971200
121.60594,25.07248,1,1484971200
121.60998,25.05920,2,1484971200
121.61405,25.06015,1,1484971200
121.61506,25.06840,2,1484971200
121.61651,25.05772,1,1484971200
